layout,date,wpm
Dvorak,2015/05/15,7.2
Dvorak,2015/05/19,8.2
Dvorak,2015/05/20,10.4
Dvorak,2015/05/21,11.6
Dvorak,2015/05/27,12.2
Dvorak,2015/05/28,15
Dvorak,2015/06/08,17.6
Dvorak,2015/07/13,15.6
Dvorak,2015/07/14,20.8
Dvorak,2015/07/17,19.8
Dvorak,2015/09/21,20.4
Dvorak,2015/09/24,20.4
Dvorak,2015/09/24,20.2
Dvorak,2015/09/30,25.8
Dvorak,2015/10/12,24.2
Dvorak,2015/10/21,30.2
Dvorak,2015/12/22,42.4
Dvorak,2016/02/05,51.4
Dvorak,2016/03/25,52.4
Dvorak,2016/04/19,53.8
Qwerty,2015/05/15,83.6
Qwerty,2015/05/20,88.6
Qwerty,2015/05/28,70
Qwerty,2015/12/30,86
Qwerty,2016/03/25,76.4
Qwerty,2016/04/19,81.6
